,Company,Location,Salary,Summary,Title,Job Category,City,State Code,ZIP,Area
178,Nordstrom,"Seattle, WA",Not available,"As an integral part of the Supply Chain Analytics team the Data Analyst 3 is responsible for collecting, analyzing and presenting data to improve decision...",Data Analyst 3,Data Analyst,Seattle,WA,,
179,Suburban Propane,"Whippany, NJ 07981",Not available,Supply weekly pricing data for government and state agencies as requested during the winter. 3 years' work experience in a business operations environment...,Financial/Operations Analyst,Other,Whippany,NJ,07981,
180,FSA,"Arlington, VA 22202 (Aurora Highlands area)",Not available,A Data Analyst executes the following duties:. A Data Analyst must meet the following qualifications:. Ability to enter and retrieve data from data bases....,Data Analyst Supporting the DEA,Data Analyst,Arlington,VA,22202,(Aurora Highlands area)
181,Fipsar Inc.,"Township of Hillsborough, NJ",$60 - $80 an hour,Care Management data:. Assist the data warehouse team to perform data conversions including extracting. Healthcare data from Epic Healthy Planet and other EHR...,EPIC Healthcare Data Analyst,Data Analyst,Township of Hillsborough,NJ,,
182,RiskMatch,"Greenwich, CT",Not available,"Work independently, or in teams on complex level data gathering, checking, manipulation, analysis, reporting and data quality assurance tasks with minimal...",Data Analyst (Entry Level),Data Analyst,Greenwich,CT,,
183,NIKE INC,"Portland, OR 97204 (Downtown area)",Not available,"Experience with managing and analyzing large data sets. Ability to parse large data sets using Python, MATLAB, or other scripting tool....",Athlete Data Analyst,Data Analyst,Portland,OR,97204,(Downtown area)
184,The Vermont Country Store,"Manchester, VT",Not available,"We are a 70 year-old, family-owned business looking for exceptional students with an interest in data analysis to work directly on projects that help to devise,...",Data Analyst Interns,Data Analyst,Manchester,VT,,
185,Raymour and Flanigan,"Liverpool, NY 13090",Not available,"Business Intelligence Data Analyst. Experience with data visualization platform (e.g. As a Business Intelligence Data Analyst at Raymour & Flanigan, you will...",Business Intelligence Data Analyst -- Remote Work Capable,Data Analyst,Liverpool,NY,13090,
186,Vertafore,"Greenwich, CT 06831",Not available,"Work independently, or in teams on complex level data gathering, checking, manipulation, analysis, reporting and data quality assurance tasks with minimal...",Data Analyst (Entry Level),Data Analyst,Greenwich,CT,06831,
187,"Bio-Reference Laboratories, Inc.","Elmwood Park, NJ 07407",Not available,Professional (non-academic) work experience in data analyst role. Data Analysts have a real passion for finding trends and pattern in data and will use new and...,SQL Data Analyst Revenue Cycle,Data Analyst,Elmwood Park,NJ,07407,
188,M&T Bank,United States,Not available,Aggregate data programmatically • Research and recommend workflow solutions and process improvement opportunities through data analysis• Adhere to applicable...,Strategic Data Analytics Analyst I,Analytics,United States,,,
189,Medpace,"Cincinnati, OH 45212 (Pleasant Ridge area)",Not available,Knowledge of databases and data management process; Communicate the project requirements for cleanup and data capture to ensure the key study variables are...,Statistical Analyst I,Other,Cincinnati,OH,45212,(Pleasant Ridge area)
190,KMEG/KPTH/NPTH – Sioux City || Siouxland News,"Sioux City, IA",Not available,Administrative Marketing Assistant/Research Analyst*. We have an immediate opening for a Administrative Marketing Assistant/Research Analyst....,Administrative Marketing Assistant/Research Analyst,Research,Sioux City,IA,,
191,Sauder Manufacturing Co,"Archbold, OH 43502",Not available,The Contract Risk Analyst will primarily review contracts for the Sauder Worship installation projects....,Contract Risk Analyst,Other,Archbold,OH,43502,
192,MEMIC,"Portland, ME",Not available,Assists with data reporting and data analysis in coordination with Data Analyst as needed. Attention to detail is a must....,Claim Business Analyst,Business Analyst,Portland,ME,,
193,"Ag Resource Management, LLC","Denver, CO",Not available,"5 years (Preferred). Perform detailed business analysis, statistical analysis, explanatory and predictive modeling, data mining....",Financial Analyst/Capital Markets,Other,Denver,CO,,
194,Liberty Mutual,"Boston, MA 02116 (South End area)","$52,500 - $64,400 a year","$52,500 - $64,400 a year


                            Examines data and identifies trends providing recommendations for continuous improvement to SMO leadership. Service Market Operations (SMO) is currently hiring...","Business Analyst, Workload Planning, Helmsman Management Ser...",Business Analyst,Boston,MA,02116,(South End area)
195,"NMR Group, Inc.","Somerville, MA 02144",Not available,NMR is currently seeking candidates for a Statistical Analyst position. We are a small but expanding consulting firm specializing in the evaluation of energy...,Statistical Analyst - Sampling,Other,Somerville,MA,02144,
196,Sanford Rose Associates JFSpartners,"Orlando, FL","$50,000 - $70,000 a year","$50,000 - $70,000 a year


                            Responsibilities for the Financial Analyst*. Financial Analyst will create exception reports. Financial Analyst will forecast of Portfolio-Cash-principle and...",Financial/Data Analyst,Data Analyst,Orlando,FL,,
197,Bose,"Boston, MA",Not available,"The Business Data Analyst role at Bose is a blend skill set of data management tools (Data Quality, Governance, ERP, CRM and Data Analytics)....",Business Data Analyst,Data Analyst,Boston,MA,,
198,Vim,"San Francisco, CA",Not available,Your role as a Data Analyst at Vim:. Experience identifying data and executing complex data queries using multiple relational databases and data sources....,Data Analyst,Data Analyst,San Francisco,CA,,
199,The New York Times,"New York, NY 10036",Not available,"Wirecutter is seeking a Data Analyst to join our small-but-growing Finance and Data group. The data team is responsible for data analytics, data engineering,...",Data Analyst,Data Analyst,New York,NY,10036,
200,Northwestern University,"Chicago, IL",Not available,Research Data Analyst Associate utilizes multiple quantitative and qualitative datasets from a variety of sources and interprets results using various...,Research Data Analyst Associate,Data Analyst,Chicago,IL,,
201,Google,"Seattle, WA",Not available,You will weave stories with meaningful insight from data. Data Scientists are changing the world one technological achievement after another....,"Product Analyst, Data Science",Data Analyst,Seattle,WA,,
202,Goldman Sachs,"New York, NY 10282 (Tribeca area)",Not available,About GIR Data Strategy. Leverage data initiatives and collaborate with engineers across the firm and adapt firmwide data initiatives to GIR’s needs....,"GIR, Data Strategy, Analyst/Associate - New York",Data Analyst,New York,NY,10282,(Tribeca area)
203,JP Morgan Chase,"Wilmington, DE 19803",Not available,"Provisioning includes all physical configuration set-up, creation of roles to support RBAC (role-based access controls), dataset registration, data...",Big Data Support Analyst,Data Analyst,Wilmington,DE,19803,
204,Estee Lauder,"New York, NY 10014 (West Village area)",Not available,Data analytics and decision making. Tableau Data Visualization experience a plus. Partner with Reporting teams to ensure core HR data and talent acquisition...,HR Data Analyst,Data Analyst,New York,NY,10014,(West Village area)
205,JLAE,"Clarksville, TN",Not available,Data Analyst Job Duties Data analyst. Data analysts will develop analysis and reporting capabilities. Efficiency and quality Acquire data from primary or...,Data Analyst - Entry Level,Data Analyst,Clarksville,TN,,
206,Mastech Digital,"Tampa, FL",$25 - $30 an hour,"Job Summary Required skills: • Strong analytical background to analyze information, situations, and procedures • Proficiency with computer systems,...",Senior Data Analyst,Data Analyst,Tampa,FL,,
207,CO-OP Financial Services,North Carolina,Not available,We are seeking a talented Data Quality Control Analyst to be responsible for the Data Enrichment and Quality process for core enterprise data....,Data Quality Control Analyst,Data Analyst,North Carolina,,,
208,Teltech Systems,"South Amboy, NJ",Not available,The Data Analyst will be part of the Data Science & Analytics team within our Product Marketing department. We are looking for a Data Analyst — a hybrid “data...,Data Analyst,Data Analyst,South Amboy,NJ,,
209,"Grow Op Farms, llc","Spokane Valley, WA",Not available,"Previous experience with data analysis preferred. Grow Op Farms, the leading I-502 producer by volume of top-shelf cannabis in the state of Washington is hiring...",Data Analyst,Data Analyst,Spokane Valley,WA,,
210,Valley National Bank,"Wayne, NJ 07470",Not available,The Data Quality and Customer Service Specialist will ensure integrity of loan data and accuracy of financial records as relates to the Commercial lending...,Data quality/Customer Service Specialist,Other,Wayne,NJ,07470,
211,John Burns Real Estate Consulting,"Folsom, CA",Not available,"Assist in modeling and/or forecasting multiple data points. The Forecasting/Data Analyst will assist in analyzing, collecting and preparing data sets,...",Forecasting/Data Analyst,Data Analyst,Folsom,CA,,
212,Daugherty Business Solutions,"Franklin Lakes, NJ",Not available,Proven data engineering or data visualization experience with large and/or complex data environments. The professional in this role will be responsible for...,Data Scientist - NJ,Data Scientist,Franklin Lakes,NJ,,
213,Vanderbilt University Medical Center,"Nashville, TN",Not available,VICTR Curation Data Analyst/Statistical Analyst. 3-5 years experience working as a data analyst. Can identify data values and data sources....,Data Analyst/Statistical Analyst,Data Analyst,Nashville,TN,,
214,Eisai,"Woodcliff Lake, NJ 07677",Not available,"Develop standards and ad-hoc listings that support Data Management and other clinical areas for data cleaning, and data reviewing....",Clinical Database Analyst,Data Analyst,Woodcliff Lake,NJ,07677,
215,Johnson Controls,"Milwaukee, WI",Not available,Data Visualization Analyst. Develop basic and advanced data visualizations from a wide range of data. Uses data visualization tools to....,Data Visualization Analyst,Data Analyst,Milwaukee,WI,,
216,Carma Project,"Costa Mesa, CA","$40,000 - $60,000 a year","$40,000 - $60,000 a year


                            To succeed in this challenging, but highly-rewarding role, you’ll need to have experience analyzing web, product and business data, and be creative, dependable,...",Digital Analytics Specialist,Analytics,Costa Mesa,CA,,
217,Tractor Supply Company,"Brentwood, TN 37027",Not available,Participates in Customer Master Data related projects. This position supports data quality program and audit requirements....,Customer Master Data Sr Analyst,Data Analyst,Brentwood,TN,37027,
218,"Aerofil Technology, Inc.","Sullivan, MO 63080",Not available,"Routine and project specific data entry. 3 years (Preferred). Ensure the quality of raw materials, formulations and finished product....",Chemical Analyst-Days,Other,Sullivan,MO,63080,
219,"Health Services Advisory Group, Inc.","Phoenix, AZ 85020 (North Mountain area)",Not available,"The Analyst will have at his or her fingertips a wide array of data types to facilitate data exploration, including:....","Analyst I-II, Data Science",Data Analyst,Phoenix,AZ,85020,(North Mountain area)
220,IBM,United States,Not available,Knowledge of health data sources and data management. Data management system (DMS); Data management process and compliance)....,Watson Health Data Scientist,Data Scientist,United States,,,
221,JP Morgan Chase,"San Francisco, CA 94107 (South Of Market area)",Not available,"Experience with working with data and data flows and pipes. 8+ years of overall experience and 5+ years of hands-on experience as a Business Systems Analyst,...",Big Data Business System Analyst,Data Analyst,San Francisco,CA,94107,(South Of Market area)
222,Georgia Department of Corrections,"Forsyth, GA","$40,983 - $71,720 a year","Doctorate degree in public health, epidemiology, bio statistics or a closely related field from an accredited college or university AND One year of experience...",Population Health Data Analyst,Data Analyst,Forsyth,GA,,
224,NIKE INC,Tennessee,Not available,"The HR Data Analyst will provide data and analysis in support of HR functions. Experience querying data, data interpretation and report generation....",HR Data Analyst,Data Analyst,Tennessee,,,
225,"IQlogg, Inc","Stamford, CT","$50,000 - $60,000 a year",Business Analyst and Data Analyst position with one of our best client . Input internal and client data into excel to manage discrepancy tracking....,Entry level Business Data Analyst,Data Analyst,Stamford,CT,,
226,Johnson & Johnson Family of Companies,"Raritan, NJ",Not available,"Strong programming experience in Big Data as a Service (Hadoop cloud in microservices architecture), Data Ingestion, Data Unification, Big scale Data...","Senior Analyst, Data Management",Data Analyst,Raritan,NJ,,
227,Beacon Gov,"Coral Springs, FL",Not available,"Data mining and data auditing skills. Technical expertise regarding statistics, data models, database design development, data mining, and segmentation...",Data Analyst,Data Analyst,Coral Springs,FL,,
228,"Farasis Energy, Inc.","Hayward, CA 94545 (Glen Eden area)",Not available,"Experience with data processing of test data, especially battery test data, is a plus. The Testing Data Analyst will support the battery engineers and scientist...",Testing Data Analyst- R & D,Data Analyst,Hayward,CA,94545,(Glen Eden area)
229,Futuralis Tech,"Monterey, CA",Not available,V Strong Data Analyst or DBA (No Exception). Data Analyst/Database Designer Job Description. V Create and update data flow diagrams....,Data Analyst,Data Analyst,Monterey,CA,,
230,Maryland Physicians Care,"Linthicum Heights, MD",Not available,"Create report and data reconciliation through Access, Excel, Business Objects and other reporting tools, to include provider data, claims data, membership data....",Data Analyst I,Data Analyst,Linthicum Heights,MD,,
231,American Merchandising Specialists,"Ridgefield Park, NJ",Not available,Business Intelligence Merchandising & Training Analyst. Business Merchandising & Training Analyst to work onsite at Samsung US HQ with the Home Appliance team...,Data Analyst/Merchandising & Training,Data Analyst,Ridgefield Park,NJ,,
233,Cisco,"Carlsbad, CA",Not available,"3-5+ years of experience as a business data analyst or a data analyst. We are looking for a highly motivated Data Analyst in the Carlsbad, CA office....",Data Analyst,Data Analyst,Carlsbad,CA,,
234,Cerner Corporation,"Kansas City, MO 64116",Not available,"You will also access and compile data sets from various sources for exploratory and pre-defined analyses, audit data sets for completeness, validity, and other...",Data Analyst,Data Analyst,Kansas City,MO,64116,
235,Comcast,"Philadelphia, PA 19103",Not available,"Analyst, Data QualityComcast is expanding an Enterprise Business Intelligence (EBI) team, including advanced analytics across multiple large data sets....","Sr. Analyst, Data Quality",Data Analyst,Philadelphia,PA,19103,
236,Prudential,"Roseland, NJ",Not available,Key member of the Data Governance Team responsible for contributing to the data management operations to support data registration....,Business Analyst - Data Governance,Data Analyst,Roseland,NJ,,
237,J.Jill,"Quincy, MA",Not available,"Knowledge of data management, business intelligence, master data management, and data services architectural frameworks....",Customer Data Analyst,Data Analyst,Quincy,MA,,
238,Firebrand Technologies,"Newburyport, MA 01950",Not available,"3 to 5 years experience. We specialize in getting new publishing clients' title data into our Title Management application, as well as build and support tools...",SQL Developer/Analyst,Developer,Newburyport,MA,01950,
239,Liberty Mutual,"Boston, MA 02116 (South End area)","$74,800 - $93,500 a year","$74,800 - $93,500 a year


                            Performs moderately complex research by gathering data from a variety of sources, which may include operational data, metrics, competitor information, and...",Business Analyst II - Global Risk Solutions - Claims Analyti...,Business Analyst,Boston,MA,02116,(South End area)
240,Chevron Phillips Chemical Company,"The Woodlands, TX 77380",Not available,"This position is for a Business Intelligence (BI) Analyst located in The Woodlands, TX. Demonstrates ability and willingness to investigate complex business...",Business Intelligence Analyst,Business Intelligence Analyst,The Woodlands,TX,77380,
241,Burt Process Equipment,"Hamden, CT 06514",Not available,"Perform root cause analysis as a means of addressing data issues, cost savings, risk avoidance, productivity improvements, or revenue-generating business...",IT Support and Business Analyst,Business Analyst,Hamden,CT,06514,
242,Dining Alliance,"New London, CT 06320",Not available,"The Data Analyst position will be responsible for handling a wide array of file types, utilizing our software to import data, and performing analysis in Excel...",Data Analyst,Data Analyst,New London,CT,06320,
244,EAB,"Richmond, VA 23219 (City Center area)",Not available,"Data Entry Analyst, Strategic Targeting. This position is located in Richmond, Virginia, and reports directly to the Lead Strategic Targeting Analyst....",Data Entry Analyst,Data Analyst,Richmond,VA,23219,(City Center area)
246,BNY Mellon,"New York, NY",Not available,"Data Management and Quantitative Analysis - IC1 Under direct guidance, works with internal and external datasets and client reference data and provides analysis...","Analyst,Data Management Quant Analysis",Data Analyst,New York,NY,,
247,Billings Clinic,"Billings, MT 59101",Not available,"Healthcare Data Analysts are required to work independently with minimal supervision and are responsible for continual analysis, development, validation,...",Healthcare Data Analyst,Data Analyst,Billings,MT,59101,
248,Concept Technology,"Bridgewater, NJ 08807","$50,000 - $60,000 a year","Our rapidly growing IT staffing company in US is actively looking for Quality Analyst,Business Analyst,Data Analyst trainer who can train our consultants....",Data Analyst Trainer,Data Analyst,Bridgewater,NJ,08807,
249,Unilever,"Englewood Cliffs, NJ",Not available,"Material Excellence Analyst. As a Material Excellence Analyst, you continuously challenge the status quo, innovate, and drive action....",Procurement Materials Excellence Analyst,Other,Englewood Cliffs,NJ,,
250,"World Business Lenders, LLC","Jersey City, NJ 07302 (Downtown area)",Not available,Attention to detail – this position will include working with large amounts of data; The Business Intelligence analyst will be responsible for delivering...,Business Intelligence Analyst - Jersey City,Business Intelligence Analyst,Jersey City,NJ,07302,(Downtown area)
251,"SemanticBits, LLC","Herndon, VA 20171",Not available,"Work closely with application developers and data analysts to design and optimize data access, query, reporting, and analysis strategies....",Data Architect - Remote,Other,Herndon,VA,20171,
252,Genworth,"Richmond, VA",Not available,"Apply advanced data programming skills (SQL, Python, R, Java, C++, or similar languages) to query, mine, and structure data for the purposes of process...",Workforce Data Analyst,Data Analyst,Richmond,VA,,
253,EAST JORDAN PLASTICS,"East Jordan, MI 49727",Not available,Cost accounting data collection and analysis. Gathering of plant data and consolidating into final report....,Financial Analyst,Other,East Jordan,MI,49727,
254,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",Not available,Performs complex statistical analysis on experimental or business data to validate and quantify trends or patterns identified by business analysts....,Associate Data Scientist,Data Scientist,Chicago,IL,,
255,Children's Healthcare of Atlanta,"Atlanta, GA 30341",Not available,"Assist project team members in conducting quantitative analysis based on stated goals and preferences including selecting, managing data, choosing analytic...",Intern - Quantitative Analyst (Summer),Internship,Atlanta,GA,30341,
256,Napleton Automotive Group,"Oak Brook, IL",Not available,"Napleton Automotive Group is seeking a Vehicle Inventory Data Analyst to join our corporate team in Oakbrook Terrace, IL!...",Data Analyst (Entry Level),Data Analyst,Oak Brook,IL,,
257,Meijer,"Grand Rapids, MI",Not available,"Currently, Meijer is looking for a Merchandising Analytics I Analyst. Leverage disparate data sources for holistic understanding to solve complex business...","Analyst, Reporting & Data",Data Analyst,Grand Rapids,MI,,
258,Wiley,"Hoboken, NJ",Not available,"Strategy Analyst – Research – Hoboken, NJ. Experience working with financial and industry/market data is a must;...",Strategy Analyst,Other,Hoboken,NJ,,
259,University of Florida,"Gainesville, FL 32611","$45,000 - $50,000 a year",The candidate will utilize data visualization tools such as tableau to generate output for data coordination of clinical research and presentation on web...,Data Management Analyst I,Data Analyst,Gainesville,FL,32611,
260,DISNEY,"New York, NY 10036",Not available,"Manage the data taxonomy, reference data management, join model, and master data management for essential data....",Data Governance Analyst,Data Analyst,New York,NY,10036,
261,HMH Hospitals Corporation,"Wall, NJ",Not available,Internal/External Customer Data:. Monitors external databases involving reportable data and assures timely data collection and reporting....,Outcomes Clinical Data Analyst,Data Analyst,Wall,NJ,,
262,McKesson,"The Woodlands, TX",Not available,"5+ years of experience with PL-SQL (Toad), SAS/SQL coding, Data Management, Data Modeling, Information Retrieval, Data Analytics, Reporting and Process Analysis...",Clinical Data Analyst,Data Analyst,The Woodlands,TX,,
263,Kelly Services,"San Francisco, CA 94111 (Financial District area)",Not available,"Our client, a multinational Technology company, is currently seeking a Business Data Analyst for a one year temporary position with the opportunity for an...",Business Data Analyst,Data Analyst,San Francisco,CA,94111,(Financial District area)
264,Prudential,"Plymouth, MN 55442",Not available,Strong data management abilities. Do you enjoy analyzing data and extracting key strategic insights? Determine and develop user requirements for efficient data...,"Customer Office BYCP Enablement, Analytics, Insights & Sales...",Analytics,Plymouth,MN,55442,
265,Clinica Tepeyac,"Denver, CO 80216 (Northern Denver area)",$24 an hour,"$24 an hour


                            3 years’ experience working with healthcare data. Monitors data integrity, conducts data validation and resolves any findings. Runs data and creates;...",Data Analyst,Data Analyst,Denver,CO,80216,(Northern Denver area)
266,"TURA, Inc.","Muncy, PA 17756","$40,000 - $50,000 a year",Turns project requirements into custom data reports. Recommends specific types of data necessary and to capture the desired statistics....,Business Intelligence Analyst,Business Intelligence Analyst,Muncy,PA,17756,
267,IBM,"Armonk, NY 10504",Not available,Create and support E2E data map across the modules. He understands WW customer and coverage data and how it flows through the various IBM systems....,GSI Transformation Data Analyst,Data Analyst,Armonk,NY,10504,
268,BMW of North America LLC.,"Woodcliff Lake, NJ 07677",Not available,"The P2P and Budget Analyst position is located in Woodcliff Lake, New Jersey. Ensure data privacy compliance for all HR vendors that receive personally...",P2P and Budget Analyst,Other,Woodcliff Lake,NJ,07677,
269,Goodwill Sacramento Valley and Northern Nevada,"Sacramento, CA 95826",$18 an hour,Junior Data Analyst. Detail oriented with excellent typing and data entry skills. Ability to perform the essential functions of the Junior Data Analyst job...,"Junior Data Analyst - Sacramento, CA",Data Analyst,Sacramento,CA,95826,
270,Wyndham Hotels & Resorts,"Parsippany, NJ 07054",Not available,Data Reporting and Development:. Good working knowledge of data sources. The Analyst will support the delivery of data and analytics capabilities to the Loyalty...,Performance Analytics Analyst - Loyalty,Analytics,Parsippany,NJ,07054,
271,Bank of America,"Newark, DE 19711",Not available,Data and reporting experience and attention to detail. Operational risk and fraud experience Data analysis experience and attention to detail....,SAS/SQL Analytics & Reporting Analyst,Analytics,Newark,DE,19711,
272,Morgan Stanley,"New York, NY",Not available,"Use financial data expertise to better structure data for use by Research Analysts. Perform a variety of business and data analyst functions, including working...",Data Analytics Associate,Analytics,New York,NY,,
273,American Express Global Business Travel,"Jersey City, NJ",Not available,The Data and Reporting Analyst will also have a keen understanding of general business processes and commercial perspectives as well as a passion for developing...,"Data and Reporting Analyst, Jersey City NJ",Data Analyst,Jersey City,NJ,,
274,Google,"Sunnyvale, CA",Not available,"As a Manufacturing Data Analyst, you will join the technical operations team responsible for setting up and managing Google’s Data Center supply chain....",Manufacturing Data Analyst,Data Analyst,Sunnyvale,CA,,
275,Molina Healthcare,"Syracuse, NY",Not available,"Develops analysis of monthly/quarterly/annual consolidated and subsidiary financial data, including variance analysis, fluctuation analysis and/or determination...",Financial Analyst,Other,Syracuse,NY,,
276,Lime,"San Francisco Bay Area, CA",Not available,"In this role you will be working with large data sets, incomplete data, or no data at all in order to guide us into our next steps....",Business Analyst,Business Analyst,San Francisco Bay Area,CA,,
277,Monroe County Clerk's Office,"Key West, FL 33040",Not available,The Monroe County Clerk of Court & Comptroller (the Clerk) is currently accepting applications for a Court Services Business Analyst....,Court Services Business Analyst (24-Month Project Position),Business Analyst,Key West,FL,33040,
278,Fleetcor,"Peachtree Corners, GA",Not available,Experience with data analysis; Manipulate large data sets and produce management reports. Respond to ad hoc requests for data and information....,Senior Business Analyst,Business Analyst,Peachtree Corners,GA,,
279,MedHOK,"Tampa, FL 33606",Not available,"Business Analyst - Product*. Minimum of 3 - 5 years of experience in business analysis, requirements definition, building systems solutions and deployment of...",Business Analyst - Product,Business Analyst,Tampa,FL,33606,
280,Amazon.com,"Boston, MA",Not available,Provide day-to-day expert support for a team of data analysts. Amazon Devices is seeking a Language Data Specialist to join our international data team to...,Language Data Specialist,Other,Boston,MA,,
281,Express Scripts,"Franklin Lakes, NJ 07417",Not available,The Senior Pricing Analyst will also provide pricing support for all ad hoc analyses (i.e. The Senior Pricing Analyst will develop client-specific pricing...,Senior Pricing Analyst,Other,Franklin Lakes,NJ,07417,
282,Mid-Atlantic Permanente Medical Group,United States,Not available,"Use various data querying tools such as SAS, Oracle SQL Developer, Teradata SQL Assistant, and Tableau to extract data to create reports to support operational...",Data Analyst Intern,Data Analyst,United States,,,
283,Hearst Magazines,"New York, NY",Not available,"Assist with other projects of the dept., such as ad effectiveness studies, market highlights & trends, data structuring/organization, utilization of first party...","Junior Analyst, Research & Insights",Research,New York,NY,,
284,Bank of America,"Charlotte, NC 28255 (Wilmore area)",Not available,"This position is for a Data Support Senior Analyst with a focus on data mining, data quality, testing, research and analysis within Wholesale Credit...",Senior Data Analyst,Data Analyst,Charlotte,NC,28255,(Wilmore area)
285,Wayfair,"Boston, MA 02116 (South End area)",Not available,"Senior Analyst, Strategy and Analytics:. Present data with a clear point of view so that insights can be used to help drive business strategy....",B2C Strategy and Analytics Opportunities,Analytics,Boston,MA,02116,(South End area)
286,BNY Mellon,"Oriskany, NY 13424",Not available,"Data Management and Quantitative Analysis - IC1 Under direct guidance, works with internal and external datasets and client reference data and provides analysis...","Analyst, Data Management & Quantitative Analysis",Data Analyst,Oriskany,NY,13424,
287,Mentor IMC Group,"Midland, TX","$80,000 - $90,000 a year","Entering data into master database at project initiation. Experience with Spotfire, PowerBI, or comparable data visualization tool....",Data Analyst,Data Analyst,Midland,TX,,
288,Penn State University,"University Park, PA",Not available,"Gathering and analyzing data from multiple databases and sources; Expertise utilizing statistical tools, forecasting methods, data mining algorithms,...",Data Analyst,Data Analyst,University Park,PA,,
289,s•com,"Charlotte, NC",Not available,"Define, collect, and document data for testing; Position will be focused on testing efforts custom Windows 10 / Universal Windows Platform Mobile Applications....",Test Analyst,Other,Charlotte,NC,,
290,"CGI Group, Inc.","Greenville, SC 29617",Not available,The initial focus will leverage on data warehousing and reporting. Meet our professionals....,BI Support Analyst,Other,Greenville,SC,29617,
291,BASF Corporation,"Florham Park, NJ 07932",Not available,"Leveraging your educational background in Science, Mathematics, Statistics, Computer Science, Data Science, or a related discipline, along with your relevant...",Artificial Intelligence Expert (Data Scientist),Data Scientist,Florham Park,NJ,07932,
292,LOCKHEED MARTIN CORPORATION,"Fort Worth, TX 76108",Not available,"Experience with parts of the data analytics pipeline, such as data collection, wrangling, cleaning, analysis, visualization, presentation....",Data Analyst,Data Analyst,Fort Worth,TX,76108,
293,HigherEducation.com,"Houston, TX","$80,000 a year",The Data Analyst will support our Client Services team by providing actionable recommendations regarding customer and campaign performance....,Data Analyst,Data Analyst,Houston,TX,,
294,Uber,"San Francisco, CA 94103 (South Of Market area)",Not available,The Consumer Data Science team uses data to improve the ways that Uber’s users engage with our products....,Senior Product Analyst - Consumer Data Science,Data Analyst,San Francisco,CA,94103,(South Of Market area)
295,Microsoft,"Redmond, WA",Not available,"Leverage team members across BI, for data & analysis needs. Experience in analyzing big data using statistical tools such as SQL, C# and statistics....",Data Analyst,Data Analyst,Redmond,WA,,
296,New York Life Insurance Co,"Lebanon, NJ 08833",Not available,Ability to create logical and physical data models by analyzing the source data. Excellent data analysis skills....,Junior Data Modeler / Data Analyst,Data Analyst,Lebanon,NJ,08833,
297,UBS,"Weehawken, NJ",Not available,"Provide expertise in the areas of advanced data techniques, including data quality, data modeling, data access, data integration, and implementation....",Sr. Data Analyst,Data Analyst,Weehawken,NJ,,
298,Equifax,"Atlanta, GA 30309 (Midtown area)",Not available,Review with manager-level analyst. Create business intelligence visualizations of insights for customers and of data asset summaries for data quality...,Data and Analytics Intern,Analytics,Atlanta,GA,30309,(Midtown area)
300,MassMutual,"Springfield, MA 01103 (Metro Center area)",Not available,A Data Analyst in IT works to use data from our systems to help us make informed strategic decisions given the data available....,"Data Analyst Intern, Early Career Program, Summer 2019",Data Analyst,Springfield,MA,01103,(Metro Center area)
301,"Atlas Field Services, LLC","San Ramon, CA",$25 - $35 an hour,"$25 - $35 an hour


                            Administrative Assistant/ Business Analyst*. The chosen candidate will have a minimum of 5 years experience:....",Administrative Assistant/ Business Analyst,Business Analyst,San Ramon,CA,,
302,Penn Schoen Berland,"Seattle, WA",Not available,"Develop innovative ways to leverage and combine social data with other data sets, including client-provided, third party, and survey research data....","Research Manager, Social Analytics",Analytics,Seattle,WA,,
303,Remote -US,"Tampa, FL 33634",Not available,"Business Analyst will support the Revenue Cycle Management (RCM) department detailed business and system requirements, data analysis and User Acceptance Testing...",Senior Business Analyst - Healthcare,Business Analyst,Tampa,FL,33634,
304,Basic Fun!,"Boca Raton, FL 33431",Not available,"The EDI Analyst will be responsible for designing, developing, testing and implementing Electronic Data Interchange (EDI) systems and documents....",EDI Analyst,Other,Boca Raton,FL,33431,
305,Novartis,"East Hanover, NJ",Not available,"> 3 years finance experience, preferably in Pharmaceuticals. That’s how many lives our products touched in 2017....","Sr. Analyst, Commercial Effectiveness, Business Planning and...",Business Analyst,East Hanover,NJ,,
306,Stryker,"Mahwah, NJ",Not available,"Responsible for the development of impact analyses, responses to RFPs (Requests For Proposals), and discount and profitability trends by mining historical sales...",Strategic Pricing Analyst,Other,Mahwah,NJ,,
307,McKinsey & Company,"Waltham, MA",Not available,"As an Junior Research Analyst, you will work with consultants and other team members to understand, disaggregate, and prioritize their research and information...",Junior Research Analyst - Public and Social Sector,Research,Waltham,MA,,
308,McKinsey & Company,"Atlanta, GA 30318 (Rockdale area)",Not available,"You will be given high levels of responsibility from the start, including interfacing directly with clients to support their use of the data in our benchmarks,...",Analyst Summer Intern - GCI Analytics - University Students,Analytics,Atlanta,GA,30318,(Rockdale area)
309,New York City DEPT OF DESIGN & CONSTRUCTION,"Queens, NY","$52,524 - $81,535 a year",The analyst will be responsible for:. The Department of Design and Construction is seeking a Data Management and Information Analyst to work under the direction...,Data Management and Information Analyst,Data Analyst,Queens,NY,,
310,General Dynamics Information Technology,"Fort Huachuca, AZ 85613",Not available,"Reviews business requests for data and data usage, researches data sources for new and better data feeds. Coordinates new data development ensuring consistency...","Analyst, Database",Data Analyst,Fort Huachuca,AZ,85613,
