,Company,Location,Salary,Summary,Title,Job Category
920,Fiat Chrysler Automobiles,"Auburn Hills, MI",Not available,Data collection and analysis and creating presentations for senior management level. Job responsibilities of the HR Operations Reporting and Process Analyst...,HR Operations Reporting and Process Analyst,Other
925,JetBlue Airways Corporation,"Long Island City, NY",Not available,Data analysis skills. Demonstrates data analysis skills through a work sample using Microsoft Excel and PowerPoint....,Analyst Continuous Improvement,Other
926,Bank of America,"Westerville, OH 43082",Not available,Ability to analyze and understand data and translate into coaching feedback. Strong attention to detail. Enterprise Job Description:....,Quality Analyst,Other
933,York Risk Services,"Troy Hills, NJ",Not available,The Client Onboarding Analyst is responsible for managing a smooth process in handling all of the aspects of onboarding a client and engaging them with York....,Sales On-boarding Analyst,Other
942,Concentrix,Delaware,Not available,Ensures all required data is tracked and trended on a continuous basis. Ensures that appropriate exception codes are entered to maintain accurate real-time...,RTA- Real Time Analyst,Other
945,TripAdvisor,"Las Vegas, NV",Not available,Communicate with remote centers to input all callout data into Five9 in a timely fashion to ensure intraday in Five9 is kept up to date for analysts and...,"Senior Analyst, Real Time Analyst",Other
957,Verizon,"Basking Ridge, NJ 07920",Not available,"Analyzed data, developed reports, and presentations. You dig right into data and find the story it tells. What you’ll be doing......",Reporting Analyst - National Distribution,Other
960,Unilever,"Shelton, CT 06484",Not available,"Customer Service Analyst. You will link closely with Operations Manager, Customer Planning Forecast and Replenishment Analyst and Event Supply Planner in...",Customer Service Analyst,Other
968,PETSMART,"Phoenix, AZ",Not available,The Marketing Analyst is responsible for leveraging marketing & customer data to drive improved decision making....,Marketing Analyst,Other
972,Markov Processes International,"Summit, NJ 07901",Not available,"Candidates must have a strong interest in technology, finance, financial data, and quantitative concepts. Attention to detail, accuracy, and follow-through....",Analyst I,Other
985,Fannie Mae,"Washington, DC 20022 (Brentwood area)",Not available,Data visualization tools such as Tableau. Contributes heavily to data product development as a researcher and vetter of business logic....,Quantitative Analyst I,Other
986,Wayfair,"Big Flats, NY",Not available,"Strong written and verbal communication skills, including data presentation. Work closely with Scheduling and Forecasting Analysts providing real-time trending...",Intraday Analyst,Other
988,Bank of America,"Jersey City, NJ 07302 (Downtown area)",Not available,"O An understanding of key technology concepts such as access controls, confidential data, encryption, business continuity, info-sec scans, vendor apps....",Technical Analyst,Other
13,Amnet Sevices,"Fairfield, NJ",$180 a day,"This is a field position where the Drive tester will have go the cell site and conduct a test by using Mobile Testing App, the tester will be responsible for...",Drive Tester/ Field Engineer,Other
18,"TRUX, Inc.","Waltham, MA","$100,000 - $120,000 a year","$100,000 - $120,000 a year


                            Back End Engineer:. TRUX is looking for a Back End Engineer to help us expand and improve our back end systems....",BackEnd Engineer,Other
38,Anchor Env,"Woodcliff Lake, NJ",Not available,Interpret data and results by conducting data analysis using various tools including statistical analysis; This may also include compiling and managing data....,Junior Level Engineer,Other
41,DataKitchen,"Cambridge, MA","$130,000 - $180,000 a year","$130,000 - $180,000 a year


                            DataKitchen is leading the DataOps movement to incorporate Agile Software Development, DevOps, and manufacturing based statistical process control into...",Senior/Principal Software Engineer,Other
50,HCL America,"Franklin Lakes, NJ 07417",Not available,Deskside engineer would be performing proactive systems/ devices check regularly before manufacturing plant start....,Deskside Support Technician(New Jersey 07417),Other
61,Mondelez International,"Fair Lawn, NJ 07410",Not available,Performs a variety of complex tasks (such as reporting and analyzing data) which may contribute in advising or facilitating services for use by others....,Associate Technician,Other
65,SCCI,"King George, VA",Not available,Support systems engineering data design reviews. SCCI is seeking Systems Engineers to join our team supporting the newly awarded E30 Contract....,Systems Engineer,Other
75,Noom Inc.,"New York, NY",Not available,"We use Django and React, but are happy to welcome engineers who have worked with any modern platform. We are looking for a Growth Engineer to join our Growth...",Growth Engineer,Other
76,"Service Support Specialties, Inc.","Montville, NJ 07045","$60,000 - $70,000 a year","$60,000 - $70,000 a year


                            Collect and analyze equipment performance and other data; Use data obtained from technician support to verify the functionality of product design and draw...",ELECTRICAL ENGINEER (one yr. exp. required),Other
77,Phynd Technologies,"Omaha, NE","$50,000 - $70,000 a year","$50,000 - $70,000 a year


                            3+ years of experience testing web and data intensive applications. The QA Engineer will contribute to team meetings and the overall engineering process....","QA Engineer (Omaha, NE)",Other
109,Auxzillium,"Medford, MA 02155",Not available,"Troubleshooting servers, networks, virtualization (VMware), data and cloud storage, VPN, Firewalls (SonicWall experience a plus), wireless (WAP) technologies,...",Systems Engineer,Other
110,Noom Inc.,United States,Not available,"We use Django and React, with MySQL and PostgreSQL as the backing data store, but we’re always on the lookout for technologies that can make our job easier....",Full Stack Engineer,Other
121,"Modular Mining Systems, Inc.","Tucson, AZ 85706",Not available,Rotational Program Engineer - 2019 Graduates. Conduct analysis of business system data. Perform Modular systems data analyst in support of technical support...,Rotational Program Engineer,Other
122,Bloomberg,"New York, NY 10007 (Financial District area)",Not available,"Strong knowledge and understanding of data structures, object oriented design and systems/applications programming....",Backend Engineer - Structured Products,Other
123,Five Stones Research Corporation,"Huntsville, AL",Not available,"Modeling and Simulation Engineer. M&S Engineer in support of Sentinel Radar Product Office, Cruise Missile Defense System (CMDS) – PEO Missiles and space....",Modeling & Simulation Engineer,Other
124,The Markley Group,"Boston, MA",$35 - $38 an hour,"$35 - $38 an hour


                            Satisfactorily pass the Markley Group Operating Engineer verbal exam. Come work for a leader in the Data Center industry with great benefits and atmosphere....",Operating Engineer,Other
134,Bandwidth 10,"Berkeley, CA 94710",Not available,Bandwidth10 is seeking a self-motivated Optical Systems Engineer to make an impact bringing. The company’s primary products are a family of long wavelength...,Transceiver Application Engineer,Other
154,Marin Software,"San Francisco, CA 94105 (Financial District area)",Not available,We're looking for an experienced Java developer to hack on our real-time bidding system and build out our real time data processing pipeline....,Senior Software Engineer-Bidding,Other
156,OutboundWorks,"San Francisco, CA","$110,000 - $130,000 a year","$110,000 - $130,000 a year


                            Full stack engineer:. To achieve this we're building a scalable platform that combines a combination of deep automation, data science and machine learning on a...",Senior Full Stack Engineer,Other
157,Sargent & Lundy,"Wilmington, DE 19801",Not available,Provide guidance as a mentor in the development of less experienced engineers. Experience with controls system design including applications for low and medium...,Instrumentation & Controls Engineer,Other
176,General Dynamics Mission Systems,"Fort Meade, MD",Not available,"The DevOps Engineer will join an existing agile team of engineers in support of a large scale distributed data collection, storage, and query “system of systems...",DevOps Engineer (MVM-LD),Other
177,"Array Information Technology, Inc.","Fairfax, VA 22033",Not available,Create test cases and test data for applications. Carry out procedures to ensure that all information systems products and services meet organization standards...,Test Engineer,Other
179,"The Upside Travel Company, LLC","Washington, DC",Not available,The critical path to success is to write code that can access multiple APIs in parallel with extremely low latency and store them in a massive data cluster....,Senior Software Engineer,Other
212,Amazon.com,"Edison, NJ",Not available,"Experience with Data Cabling / Computer Facilities maintenance. Amazon, one of the top 100 companies in the United States, has an immediate opening for an IT...",IT Support Engineer I,Other
222,Snowflake Computing,"Seattle, WA",Not available,"Make modern data warehousing effective, affordable, and accessible to all data users. We’re hiring talented Software Engineers to join us!...",Software Engineer - University Graduate (Entry Level),Other
262,THORLABS INC,"Newton, NJ 07860",Not available,Train new team members by passing on your unique skills to the growing group of Thorlabs Application Engineers....,Application Engineer,Other
263,Grant Street Group,Remote,Not available,You love analyzing data and solving puzzles. You’ll guide clients as they verify their data in TaxSys. Analyzing data using SQL (MySQL experience a plus but not...,Data Conversion Specialist,Other
268,Research Scientific Services,"Trenton, NJ","$55,000 - $100,000 a year",Experienced Waters & Sciex Engineers Needed!!!*. 1 year to Senior Engineer level experience. Perform timely uploads and downloads of required data to ensure the...,LCMS Service Engineer,Other
292,BOEING,"Saint Charles, MO",Not available,"Data Entry experience. Other tasks may include preparation of Cognos reporting of Boeing Common Contracts System (CCS) data and metrics, coordinating contract...",Data Admin Coordinator,Other
309,THORLABS INC,"Newton, NJ 07860",Not available,"Ability to read, write and interpret documents such as product manuals, spec sheets and test data. Knowledge of CRM tools, data analysis tools, and strong...",OEM Project Engineer,Other
358,Foresight Group International AG,"Parsippany, NJ",Not available,"Adding space to data files, responsible for database start up and shutdown activities. Are you a Customer Support Engineer that possess the unique asset of...",Service Desk Engineer,Other
359,THORLABS INC,"Newton, NJ 07860",Not available,Train new team members by passing on your unique skills to the growing group of Thorlabs Application Engineers....,Optics Engineer,Other
363,Google,"Clarksville, TN",Not available,We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them....,Data Center Facilities Specialist,Other
373,MCLAREN TECH SERVICE,"Woodcliff Lake, NJ",Not available,"Assist in field data. Situations, adjusts and correlates data, recognizes discrepancies in. Portions of broader assignment of an experienced engineer....",Junior Bridge Engineer,Other
391,Pixida USA Inc.,"Woodcliff Lake, NJ",Not available,Data analysis experience. Analyzing backend system logs to identify faults during the data exchange process....,Telematics Support Engineer - Automotive,Other
421,Pepperi,"New York, NY","$55,000 - $60,000 a year",Strong analytical skills and ability to collect and interpret data from various sources. Looking to get your foot in the door of a cool tech company?...,Technical Consulting Engineer (Entry Level),Other
449,UnitedHealth Group,"Basking Ridge, NJ 07920",Not available,Release Train Engineer experiences. Backlog management as well as ALM tool data integrity for accurate reporting (including the collection of metrics and KPIs)....,Release Train Engineer,Other
451,Siemens,"Florham Park, NJ 07932",Not available,Independently designs building automation systems for standard and/or critical environment facilities such as data centers or laboratories....,Associated Engineer,Other
497,Principal Financial Group,"Lambertville, NJ",Not available,"Half of our team is made up of engineers, but we believe everyone at RobustWealth is an engineer with their own tools....",Junior Full-Stack Engineer,Other
500,"Data Evolution, LLC",United States,Not available,The Remote Support Engineers will function as a member of the Remote Support Team. They are primarily focused on timely and successful delivery of Remote...,Remote Support Engineer,Other
504,Lennon Wright Associates,"San Francisco, CA","$120,000 - $220,000 a year","Experience in data mining, statistics, or optimization. Take part in ML Model building, data mining, and web development. Your opportunity lies here!*....",Machine Learning/AI Engineer - San Francisco,Other
514,BAE Systems,"Wayne, NJ 07470",Not available,"Entry level engineers are exposed to the full software life-cycle, from requirements development through integration and testing....",Entry Level Software Engineer,Other
520,Zendesk,"San Francisco, CA 94103 (South Of Market area)",Not available,"By submitting your application, you agree that Zendesk may collect your personal data for recruiting, global organization planning, and related purposes....",Audio Engineer / Sound Designer,Other
524,Bloomberg,"Princeton, NJ",Not available,Data Management Technologist. Collaborate with data analysts and software engineers to develop creative solutions to the technical challenges facing our...,Data Management Technologist,Other
530,Mondelez International,"East Hanover, NJ 07936",Not available,"Associate Engineer II. As part of a fantastic team of scientists, engineers and nutritionists, you'll work tirelessly on product design or development, process...",Associate Engineer II,Other
538,Microsoft,United States,Not available,"This highly visible role will have you working closely with other disciplines including, software engineers, program managers, partners, business groups, and...",Full-time opportunities for students & recent graduates: Ser...,Other
543,II-VI (Opto)electronic Device,"Township of Warren, NJ 07059",Not available,Collects and analyzes data from experiments using electrical and analytical techniques. Basic Function of the Job....,Thin Films Engineer,Other
558,Rutgers University,"New Brunswick, NJ",Not available,"Recruitment/Posting Title Project Engineer. Job requires moving of equipment, installation of data projectors, and ability to lift 40 lbs....",Project Engineer,Other
605,Life.io,"Princeton, NJ","$70,000 - $80,000 a year",Performing simple database lookups for one-off data requests. Life.io is looking for a full-time Technical Support Engineer to join our team!...,Technical Support Engineer,Other
616,Montclair State University,"Montclair, NJ 07043","$46,017 - $64,894 a year",Assists in setting up Preventive Maintenance schedules and data cards. Prepares inventory of equipment and attaches labels to record relevant data....,Mechanical Equipment Specialist (Re-Opened),Other
663,DISNEY,"Spotswood, NJ",Not available,"They collaborate daily with data scientist, data steward, data engineer and business analysts. Data Dictionary, Data Model, Flow Mapping and Main Business...",DATA STEWARD (F/H),Other
669,Google,"Los Angeles, CA",Not available,We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them....,Data Center Technician,Other
674,UPMC,"Pittsburgh, PA 15213 (North Oakland area)",Not available,"Collect data sheets and charts for leadman and manager. Under supervision of an engineer or refrigeration staff, inspect all air conditioning, refrigeration,...",Apprentice Engineer,Other
678,"Edgewell Personal Care Brands, LLC","Allendale, NJ",Not available,"Write specifications in EPC specification data base system. Develop, engineer, and test packaging components and modify as necessary to meet:....",Packaging Engineer,Other
700,Macys,"Secaucus, NJ 07094",Not available,Complete detailed analytics on key business and operational data and metrics. Oversee and manage material handling equipment and warehouse control system...,"Secaucus, NJ: Macy's Logistics: Industrial Engineer - Can be...",Other
702,THORLABS INC,"Morganville, NJ 07751",Not available,"Responsible for data entry, document revision and control in the Thorlabs ERP system. This individual works closely with the Engineers to process documents...",Document and Data Control,Other
713,LOCKHEED MARTIN CORPORATION,"Moorestown, NJ 08057",Not available,Knowledgeable and works in Haystack database researching NSN data; Position requires that the applicant be able to assist with equipment breakdown such as end...,Documentation Engineer,Other
723,"Sportech, Inc.","Mount Laurel, NJ",Not available,"Updates site-specific data points. Phone, computer and data entry:. Continually monitors site activity to ensure accurate data feed for all tracks....",Data Center Operator,Other
751,Siemens,"Florham Park, NJ 07932",Not available,"Familiarity with/exposure to FishEye, Jenkins (building continuous integration jobs), Nexus, W3c standards, Ontology development, Open Linked data....",Entry Level Software Engineer,Other
752,Cognowiz LLC,"Herndon, VA","$70,000 a year",Cognowiz is seeking for a Machine Learning Engineer who will be focused on analyzing and optimizing our machine learning delivery....,Jr Machine Learning Engineer,Other
758,Najarian Associates,"Eatontown, NJ 07724",Not available,"Compile, organize, and evaluate field and laboratory data for incorporation into technical reports. Najarian Associates, a full-service civil / environmental...",Junior (Entry-Level) Engineer,Other
760,Tech mahindra,"Washington, DC",Not available,"Test EngineerRedmond, WAFull TimeTo assist in the preparation of plans, scripts, measures, and other items needed for testing while applying company and...",Test Engineer,Other
764,Katalyst Healthcares & Life Sciences,"South Plainfield, NJ 07080",Not available,"Junior Validation Engineer will assist in authoring validation test protocols, updating SOPs, and supporting change requests as required by the Client Engineer....","Validation Engineer, Junior",Other
771,BOEING,"Seattle, WA",Not available,We are engineers and technicians. Preferred candidate must be able to interact with employees to gather data for process improvements....,Entry Level Methods Process Analyst,Other
781,"Metabyte, Inc","Ridgefield Park, NJ",Not available,"Search Engineer Lead. Mapping JSON and free text data in Elasticsearch. Ridgefield Park, NJ 07660....",Search Engineer,Other
782,L&T Technology Services Ltd.,New Jersey,Not available,Perform in sprint automation testing & validate test data for functional components. Bachelor's degree or equivalent in Computer Science or Engineering or IT or...,Test Engineer,Other
806,Verizon,"Ashburn, VA 20147",Not available,Full stack data scientist and devOps engineer. Applied knowledge of data administration practices and approaches for data collection and ingest using Open...,Machine Learning Engineer,Other
814,AMERICAN MUSICAL SUPPLY,"Oakland, NJ 07436",Not available,"Support Supply Chain and Operations teams with data request and analysis. Identify data, system or process discrepancies in order to diagnose, resolve and...",Industrial Engineer,Other
818,UnitedHealth Group,New Jersey,Not available,"Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably....",Software Engineer,Other
820,"Harvard Partners, LLP, Trusted Advisors to IT","Providence, RI",Not available,We are in search of a Data Center Technician to perform rack-and-stack and assist in the management of our client's data centers....,Data Center Technician,Other
860,Google,"Los Angeles, CA",Not available,"Experience in ontology design, crowdsourcing of data, and/or machine learning. 2 years of relevant work experience (e.g., as a data scientist, ontologist,...","Linguist, Text Classification (Multiple Languages)",Other
864,SPARK Neuro,"New York, NY",Not available,Analyze survey and interview data and synthesize into actionable findings reports (typically powerpoint). Prep for and execute data collection with various...,Neuroanalytics Engineer,Other
865,Optimove,"New York, NY 10011 (Chelsea area)",Not available,Access versatile data sources and apply data quality measures. The Data Integration Specialist position is the perfect role for an entry-level engineer who’s...,Data Integration Specialist,Other
874,Auth0,Remote,Not available,Collaborate with high caliber engineers to build new features at large-scale. The Extensibility Engineer is responsible for solving complex challenges related...,"Engineer, Extensibility",Other
888,Amazon.com,"Newark, NJ",Not available,Work closely with product owners and engineers across the company to instrument key data elements. Play a leading role in building and maintaining the...,SDE II (Data Capture),Other
889,Nascate,"Superior, CO",Not available,"Nascate is seeking a junior QA automation and operation engineer who will help drive the QA checkpoints in the ETL data processing jobs, DevOps workflow...",Junior QA and DevOps Engineer (Remote),Other
898,Turbocam International,"Barrington, NH",Not available,"Receive and evaluate customer design information, drawings, and data. This posting is for Entry-Level Mechanical Engineer openings slated to *start employment...",Entry-Level Mechanical Engineer (2019 Graduates),Other
902,Amazon.com,"Seattle, WA",Not available,Experience using data to support business decisions. Experience with language annotation and other forms of data markup....,Language Engineer,Other
905,Common Sensing,"Cambridge, MA","$100,000 - $150,000 a year","Coordinate with data collection staff to build and validate the data set. Collaborate with electrical, mechanical, and optical engineers to characterize optical...",Machine Learning Engineer,Other
906,Avidity Solutions,"Boston, MA 02111 (Central area)",Not available,"We help organizations maximize the value of their data. Avidity Solutions is technology consulting firm specializing in Data and Analytics, cloud computing and...",vRealize / vRo Engineer,Other
909,BMW of North America LLC.,"Woodcliff Lake, NJ 07677",Not available,Work with large data sets using Hadoop and mapReduce. The Software Engineer 2 will be responsible for developing applications and services....,Software Engineer 2,Other
924,Research Scientific Services,"Boston, MA","$55,000 - $100,000 a year",Experienced Waters & Sciex Engineers Needed!!!*. 1 year to Senior Engineer level experience. Perform timely uploads and downloads of required data to ensure the...,Sciex Service Engineer,Other
925,American Express,United States,Not available,"As an Engineer within Enterprise Architecture, you will be instrumental in providing world-class tools, training, and support to our community of developers....",Engineer,Other
940,Express Scripts,"Franklin Lakes, NJ 07417",Not available,Work with the tests data to team to automate test data generation. Experience with analyzing test data and testing applications....,QA Automation Engineer,Other
941,BOEING,"Ridley Park, PA",Not available,We are engineers and technicians. Education and/or experience with data analysis. Compiles data for manufacturing processes and tooling....,Quality Engineer - Entry Level,Other
4,Microsoft,United States,Not available,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft...,Full-time opportunities for students & recent graduates: Dat...,Other
9,Rho AI,United States,"$80,000 a year","Skill up in machine learning topics, including use of modern techniques in deep learning and natural language processing....",Data Science and Machine Learning,Other
15,Nitta Casings Inc.,"Bridgewater, NJ 08807","$55,000 - $65,000 a year","$55,000 - $65,000 a year


                            Maintains an up-to-date technical knowledge of manufacturing processes, competitive products and analytical methods in a broad scientific field....",Product Development Scientist,Other
24,Microsoft,United States,Not available,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft...,Full Time opportunities for PhD students and recent graduate...,Other
27,Unique Software Development LLC,"Dallas, TX 75206 (M Streets area)","$80,000 - $140,000 a year","$80,000 - $140,000 a year


                            We are looking for three experienced Data Scientists to join our existing ML team in developing and refining a predictive logistics application within the...",Machine Learning Engineer,Other
41,Anchor Env,"Woodcliff Lake, NJ",Not available,"A competitive salary, bonus program, and excellent benefits, including health insurance (medical, dental, vision, and long-term disability);...",Junior Level Scientist,Other
64,Invicro,"Boston, MA 02210 (South Boston area)",Not available,Invicro seeks an individual with scientific or clinical imaging experience to manage various imaging studies....,Imaging Scientist I - Nuclear Medicine,Other
77,"Spectrix Analytical Services, LLC","New Brunswick, NJ",Not available,"Optional benefits include health, dental, and a retirement savings plan. Data and information collection from batch execution....",Associate Scientist - Intermediate Synthesis Scale-Up Suppor...,Other
87,Medpace,"Cincinnati, OH 45212 (Pleasant Ridge area)",Not available,"Medpace is a scientifically-driven, global, full-service clinical contract research organization (CRO) providing Phase I-IV clinical development services to the...",Statistical Analyst I,Other
88,"New England Biolabs, Inc.","Ipswich, MA 01938",Not available,"This position offers opportunities to develop novel reagents, engage with customers, attend scientific conferences and learn from technically-and commercially...",Development Scientist I,Other
101,"Poly-Med, Inc.","Anderson, SC",Not available,Quality Control Scientist*. Provides data review of lab results as requested. Excellent written and verbal communication and data recording ability....,Quality Control Scientist,Other
117,Amazon.com,"Santa Barbara, CA",Not available,The ideal Machine Learning Data Associate:. We are looking for a Machine Learning Data Associate to join our Information Data Operations (IDO) team located in...,Machine Learning Data Associate,Other
120,Ademeni,"New York, NY","$200,000 - $250,000 a year",Expertise in distributed systems environments and applying Machine Learning and Artificial Intelligence. Experience as a data scientist delivering models within...,VP of Data Science,Other
155,eBay Inc.,"San Francisco, CA",Not available,Consult with Revenue Modeling Data Scientists to prioritize model development. This person will work with StubHub’s Revenue Modeling Data Scientists to design...,Pricing Operations Specialist,Other
165,University of Southern California,"Los Angeles, CA 90033",Not available,And to shape independent scientists who are able to initiate research programs that will ultimately improve world health....,Postdoctoral Scholar-Fellowship Trainee (NIH),Other
169,W.R. Berkley,"Chesterfield, MO",Not available,Act as a liaison between the Group and IT staff and Data Services staff (and other departments inside the MECC organization) as the business subject matter...,Predictive Information Analyst,Other
176,BNY Mellon,"Woodland Park, NJ","$40,000 - $45,000 a year","May manage moderately complex databases, feeds, etc. and assists with data sources. Monitors data feeds and performs data scrubbing for the Data Management and...",Intermediate Representative - Data Management and Quantitati...,Other
194,AstraZeneca,"Waltham, MA 02451",Not available,Working with our Quantitative Clinical Pharmacology Team to optimize clinical development programs using Bayesian statistic and machine learning modelling....,Data Sciences & AI Graduate Programme - US,Other
196,Luminex,"Seattle, WA",Not available,"Develop a deep understanding of Cell Analysis products by working closely with HW and SW engineers, application scientists, and product managers....",SR SOFTWARE TEST ENGINEER - US,Other
197,"ARCCA, Inc.","Penns Park, PA 18943",Not available,ARCCA’s Biomechanical Engineers work with a multi-disciplinary team of engineers and scientists for the purpose of reconstructing injury producing incidents and...,Forensic Biomechanical Engineer,Other
198,Amazon.com,Delaware,Not available,"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences....",Consultant - Data Science (m/w),Other
199,Client in Redmond WA,"Redmond, WA 98052",Not available,"Data Scientist + Python + Azure*, these 3 are MUST HAVE. Hands-on data science experience. Who has hands-on experience of Azure Machine Learning Service....",Data Science Consultant,Other
207,Sasol,"Lake Charles, LA",Not available,Provide technical support to lead scientists and research groups within R&D as it relates to the development of new and existing products requiring regulatory...,Regulatory Chemist,Other
217,Mitre Corporation,"Bedford, MA 01730",Not available,Research and gather information on machine learning/neural networks needed to conduct an experiment in MATLAB on generated data;...,Computer Science / Software Engineering New and Recent Grads,Other
233,Amazon.com,"New York, NY",Not available,As an Applied Scientist you are expected be an expert in an area relevant for large scale machine learning and its applications....,Applied Scientist - Amazon AI,Other
238,TechData Service Company LLC.,"Woodcliff Lake, NJ",Not available,Associate Director Level FP&A is looking for resource in the area of data mining and data analyses. Manage and maintain supporting documentations for key inputs...,Financial Planning & Analysis Consultant-data mining and dat...,Other
255,General Assembly,"New York, NY",Not available,"You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists. Data visualization techniques;...",Part-Time Data Science Instructor- Remote Position,Other
271,Google,"New York, NY 10011 (Chelsea area)",Not available,"As part of this program, Residents collaborate with distinguished scientists from various Google AI teams working on machine learning applications and problems....","Google AI Resident, 2019 Start (Fixed-Term Employee)",Other
273,"IMMUNOMIC THERAPEUTICS, INC.","Rockville, MD 20850",Not available,"The selected candidate will work closely with other scientists, participate in project teams, and work in a multidisciplinary environment in order to advance...",Postdoctoral Fellow - Oncology (Multiple Positions),Other
298,Volvo Cars Technology,"Rockleigh, NJ","$160,000 - $200,000 a year","Strong publication record in machine learning and deep learning at top conferences and journals. PhD / Masters in Computer Science, Electrical Engineering,...",AI Machine Learning Engineer (Deep Learning),Other
301,"Vectornate USA, Inc","Englewood Cliffs, NJ",$10 - $11 an hour,for data analysis testing purpose Job Type: Temporary Salary: $10.00 to $11.00 ...,data analysis,Other
305,University of California San Francisco,"San Francisco, CA 94104 (Financial District area)",Not available,"The data is primarily clinical data, but on occasion extends to population-based or relevant basic-science data....",Data Science Specialist,Other
325,Ford Motor Company,"Dearborn, MI 48126",Not available,"Ford Motors’ Global Data Insight and Analytics (GDI&A) organization is looking for smart, nice and curious data scientists with exceptional skills in Machine...",Machine Learning / Artificial Intelligence Scientist,Other
334,New York District Attorney's Office,"New York, NY",Not available,Use various internal applications to fix data discrepancies. Strong attention to detail and very high concern for data accuracy....,Data Analysis Specialist,Other
337,Pfizer Inc.,"Pearl River, NY 10965",Not available,"Proficiency with personal computers including word processing, Excel or Graphpad Prism, PowerPoint and relevant scientific software is desirable....",Associate Scientist – Viral Vaccines,Other
338,Amazon.com,"New York, NY",Not available,As a Scientist in the AI Lab are expected be an expert in an area relevant for large scale machine learning and its applications....,Applied Scientist,Other
339,DataCamp,"New York, NY",Not available,"Share your knowledge with over 2,770,000 data scientists around the world. Anyone with a passion for data science and storytelling can be a project instructor....","Data Science Online Project Instructor (Part-Time, Contract)",Other
341,OpenText,"New York, NY",Not available,"Experience with text mining and analyzing unstructured data. Experience with SQL, ETLs and data structures....","Solution Consultant, Data Science, AI",Other
344,Bloomberg,"Princeton, NJ",Not available,"Previous internship or relevant work experiences in scripting, software development, or data analytics. In Global Data, we’re responsible for delivering this...",Data Management Technologist,Other
345,ExxonMobil,"Clinton, NJ",Not available,Candidates must be able to work independently and interact well with individuals in other scientific disciplines to achieve worldwide business objectives and to...,Exposure Scientist,Other
359,Credit Suisse,"New York, NY 10022 (Midtown area)",Not available,"Additional responsibilities will include presenting solution proposals, securing approval from stakeholders and working with the data modelling BA to ensure...",Data Strategy/Machine Learning Architect,Other
371,JP Morgan Chase,"Jersey City, NJ 07310 (Downtown area)",Not available,"Minimum 3 years in corporate benefits, benefits consulting or health plan/health insurance field along with data analytics background....","Benefits Data Analysis & Reporting, VP",Other
373,Twitter,"New York, NY",Not available,"The team is made up of designers, creative technologists, data scientists, and producers. Write complex data flows using SQL, Spark, Scalding, R and Python...",Insights Scientist,Other
375,Amazon.com,"Seattle, WA",Not available,"D in Engineering, Computer Science, Mathematics, Machine Learning or related fields with specialization in Computer Vision, Robotics, Machine Learning or Deep...",Machine Learning Scientist,Other
392,Freddie Mac,"McLean, VA 22102",Not available,"Qualifying coursework may include-but is not limited to-data science, statistics, machine learning, optimization, numerical analysis, scientific programming,...",Data Science Professional,Other
394,Merck USA,"Kenilworth, NJ",Not available,"Known as Merck in the United States and Canada, is a global health care leader with a diversified portfolio of prescription medicines, vaccines and animal...","2019 Assoc. Spclst, Business Consulting",Other
395,General Assembly,"New York, NY",Not available,"Knowledge building and maintaining reports that pull data from multiple data sources. Data Analysis, Working with Databases, and Communication and...",Full Time Online Course Mentor: Data Analysis,Other
404,Credit Suisse,"New York, NY 10022 (Midtown area)",Not available,"Additional responsibilities will include presenting solution proposals, securing approval from stakeholders and working with the solution architect to ensure...",Data Strategy/Machine Learning BA,Other
407,Spotify,"New York, NY 10011 (Chelsea area)",Not available,"At Spotify, we’re proud of our ambitious mission of having 1 billion fans enjoying music around the world, and are seeking machine learning engineers to join us...",Machine Learning Engineer – Free Mission,Other
420,MLWIZ Team,"New York, NY",Not available,"PhD, Master's or Bachelors degree in Computer Science, software engineering, machine learning, data mining or big data analytics....",Data Science & Machine Learning Team,Other
422,Express Scripts,"Franklin Lakes, NJ 07417",Not available,"Machine Learning Engineer will be responsible for advocating, educating and ensuring that machine learning (ML) teams across the enterprise are following best...",Sr. Machine Learning Engineer,Other
423,Fidelity Investments,"Boston, MA 02212 (Central area)",Not available,"Very solid programming and database skills, e.g., R, Python, Matlab, SQL. Deep knowledge of portfolio construction, optimization, and factor allocation across...","Quantitative Analyst, Systematic Asset Allocation Strategies",Other
439,JP Morgan Chase,"New York, NY 10017 (Midtown area)",Not available,"To work alongside our top tier professionals, including data scientists, investment professionals, and marketing analytics teams, driving product innovation and...",Asset & Wealth Management – Intelligent Digital Solutions –...,Other
444,Rutgers University,"Newark, NJ 07102 (Central Business District area)",Not available,Recruitment/Posting Title Basic Scientist. Campus Rutgers Biomedical and Health Sciences (RBHS). Research expertise in use of a Bi-Planar X-Ray system and...,Basic Scientist,Other
